,ChatGPT,,,,,,,,,,,Copilot,,,,,,,,,,
Q_number/ rules,● A line should not be longer than 120 characters.,● The length of the functions should not be more than 20 lines.,● Functions should have no more than three arguments.,● There should be no nested loops more than one level deep.,● There should be no more than one sentence per line.,"●Consistent naming conventions for variables, functions and classes",●Clear and descriptive comments explaining the purpose and logic of the code,● Correct indentation and formatting for better visual organization,●Using meaningful and self-documenting variable and function names,● Adherence to coding style guides and Python-specific conventions,Grade,● A line should not be longer than 120 characters.,● The length of the functions should not be more than 20 lines.,● Functions should have no more than three arguments.,● There should be no nested loops more than one level deep.,● There should be no more than one sentence per line.,"●Consistent naming conventions for variables, functions and classes",●Clear and descriptive comments explaining the purpose and logic of the code,● Correct indentation and formatting for better visual organization,●Using meaningful and self-documenting variable and function names,● Adherence to coding style guides and Python-specific conventions,Grade
4,V,X,V,V,V,V,V,V,V,V,90%,V,V,V,X,V,V,V,V,V,V,90%
5,V,V,V,V,V,X,X,V,V,V,80%,V,V,V,V,V,X,X,V,V,V,80%
6,V,X,V,V,V,V,V,V,V,V,90%,V,V,V,V,V,V,X,V,V,V,90%
7,V,V,V,V,V,X,X,V,V,V,80%,V,V,V,V,V,V,V,V,V,V,100%
8,V,X,V,V,V,V,V,V,V,V,90%,V,X,V,V,V,V,V,V,V,V,90%
9,V,V,V,V,V,X,X,V,V,V,80%,V,V,V,V,V,X,X,V,V,V,80%
13,V,X,V,X,V,V,V,V,V,V,80%,V,V,V,V,V,V,X,V,V,V,90%
14,V,X,V,X,V,V,V,V,X,V,70%,V,X,V,X,V,V,V,V,X,V,70%
15,V,X,V,V,V,V,V,V,V,V,90%,V,V,V,V,V,V,X,V,V,V,90%
16,V,X,V,X,V,V,V,V,V,V,80%,V,X,V,X,V,V,V,V,X,V,70%
17,V,X,V,X,V,X,V,V,V,V,70%,V,X,V,V,V,V,V,V,V,V,90%
18,V,X,V,V,V,V,X,V,X,V,70%,V,X,V,V,V,V,V,V,V,V,90%
19,V,X,V,X,V,V,V,V,V,V,80%,V,V,V,V,V,V,X,V,V,V,90%
20,V,X,V,X,V,V,V,V,V,V,80%,V,X,V,X,V,V,X,V,X,V,60%
21,V,X,V,X,V,V,V,V,V,V,80%,V,V,V,X,V,V,X,V,V,V,80%
22,V,X,V,X,V,V,V,V,X,V,70%,V,V,V,X,V,V,X,V,X,V,70%
23,V,X,V,X,V,V,X,V,V,V,70%,V,X,V,V,V,V,X,V,V,V,80%
28,V,V,V,V,V,V,V,V,V,V,100%,V,V,V,V,V,V,V,V,V,V,100%
29,V,V,V,V,V,V,V,V,V,V,100%,V,V,V,V,V,V,X,V,V,V,90%
30,V,X,V,V,X,V,V,X,X,V,60%,V,V,V,V,V,V,V,V,V,V,100%
31,V,X,V,V,V,V,X,V,X,V,70%,V,X,V,X,V,V,X,V,V,V,70%
32,V,V,V,V,V,V,V,V,V,V,100%,V,V,V,V,V,V,X,V,V,V,90%
33,V,X,V,V,V,V,V,V,V,V,90%,V,X,V,X,V,V,X,V,V,V,70%
34,V,V,V,V,V,V,V,X,V,X,80%,V,V,V,V,V,V,V,V,V,V,100%
35,V,V,V,V,V,V,X,V,V,V,90%,V,V,V,V,V,V,X,V,V,V,90%
36,V,V,V,X,V,V,X,V,V,V,80%,V,V,V,X,V,V,X,V,X,V,70%
37,V,V,X,V,V,V,X,V,V,V,80%,V,V,V,V,V,V,X,V,V,X,80%
38,V,V,V,V,V,V,V,V,V,V,100%,V,V,V,V,V,V,V,V,X,V,90%
39,V,X,V,X,V,V,V,V,V,V,80%,V,X,V,X,V,V,X,V,V,V,70%
40,V,V,V,V,V,V,V,V,X,V,90%,V,V,V,V,,V,X,V,V,V,80%
,100%,40%,97%,63%,97%,87%,70%,93%,80%,97%,82%,100%,67%,100%,67%,97%,93%,37%,100%,80%,97%,84%
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
t-Test: Two-Sample Assuming Unequal Variances,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT,Copilot,,,,,,,,,,,,,,,,,,,,
Mean,82.33%,83.67%,,,,,,,,,,,,,,,,,,,,
Variance,1.08%,1.21%,,,,,,,,,,,,,,,,,,,,
Observations,30,30,,,,,,,,,,,,,,,,,,,,
Hypothesized Mean Difference,0,,,,,,,,,,,,,,,,,,,,,
df,58,,,,,,,,,,,,,,,,,,,,,
t Stat,-0.482872477,,,,,,,,,,,,,,,,,,,,,
P(T<=t) one-tail,0.31550198,,,,,,,,,,,,,,,,,,,,,
t Critical one-tail,1.671552762,,,,,,,,,,,,,,,,,,,,,
P(T<=t) two-tail,0.631003959,,,,,,,,,,,,,,,,,,,,,
t Critical two-tail,2.001717484,,,,,,,,,,,,,,,,,,,,,
